iter	Passed	Remaining
768	6242	1875
769	6248	1866
770	6255	1858
771	6263	1849
772	6270	1841
773	6277	1832
774	6284	1824
775	6291	1816
776	6299	1807
777	6306	1799
778	6313	1791
779	6321	1782
780	6329	1774
781	6337	1766
782	6344	1758
783	6352	1750
784	6360	1742
785	6368	1734
786	6377	1726
787	6385	1718
788	6396	1710
789	6409	1703
790	6426	1698
791	6439	1691
792	6454	1684
793	6463	1676
794	6471	1668
795	6482	1661
796	6490	1653
797	6497	1644
798	6504	1636
799	6511	1627
800	6518	1619
801	6525	1610
802	6531	1602
803	6539	1594
804	6545	1585
805	6553	1577
806	6559	1568
807	6566	1560
808	6574	1552
809	6580	1543
810	6587	1535
811	6594	1526
812	6601	1518
813	6607	1509
814	6614	1501
815	6621	1493
816	6629	1484
817	6636	1476
818	6643	1468
819	6650	1459
820	6656	1451
821	6663	1442
822	6669	1434
823	6676	1426
824	6683	1417
825	6690	1409
826	6696	1400
827	6703	1392
828	6710	1384
829	6717	1375
830	6723	1367
831	6730	1359
832	6736	1350
833	6743	1342
834	6751	1334
835	6758	1325
836	6765	1317
837	6773	1309
838	6780	1301
839	6787	1292
840	6794	1284
841	6801	1276
842	6809	1268
843	6817	1260
844	6825	1252
845	6834	1244
846	6844	1236
847	6852	1228
848	6861	1220
849	6869	1212
850	6877	1204
851	6884	1195
852	6893	1187
853	6901	1179
854	6909	1171
855	6917	1163
856	6924	1155
857	6935	1147
858	6944	1139
859	6952	1131
860	6959	1123
861	6966	1115
862	6972	1106
863	6980	1098
864	6987	1090
865	6994	1082
866	7001	1074
867	7008	1065
868	7014	1057
869	7021	1049
870	7029	1041
871	7037	1033
872	7044	1024
873	7050	1016
874	7057	1008
875	7063	999
876	7070	991
877	7077	983
878	7084	975
879	7092	967
880	7100	959
881	7107	950
882	7114	942
883	7121	934
884	7128	926
885	7135	918
886	7144	910
887	7150	901
888	7158	893
889	7166	885
890	7175	877
891	7184	869
892	7194	861
893	7204	854
894	7214	846
895	7225	838
896	7235	830
897	7247	823
898	7258	815
899	7269	807
900	7280	799
901	7289	791
902	7299	784
903	7308	776
904	7316	768
905	7324	759
906	7334	752
907	7343	744
908	7352	736
909	7361	728
910	7369	719
911	7378	711
912	7387	703
913	7396	695
914	7404	687
915	7413	679
916	7421	671
917	7429	663
918	7437	655
919	7447	647
920	7453	639
921	7460	631
922	7468	623
923	7474	614
924	7481	606
925	7488	598
926	7495	590
927	7502	582
928	7509	573
929	7515	565
930	7522	557
931	7528	549
932	7536	541
933	7544	533
934	7551	524
935	7558	516
936	7565	508
937	7571	500
938	7578	492
939	7585	484
940	7592	476
941	7599	467
942	7607	459
943	7614	451
944	7621	443
945	7629	435
946	7636	427
947	7646	419
948	7654	411
949	7662	403
950	7669	395
951	7676	387
952	7684	378
953	7691	370
954	7699	362
955	7707	354
956	7715	346
957	7723	338
958	7731	330
959	7739	322
960	7747	314
961	7755	306
962	7764	298
963	7772	290
964	7780	282
965	7789	274
966	7798	266
967	7805	258
968	7813	249
969	7821	241
970	7829	233
971	7836	225
972	7846	217
973	7855	209
974	7861	201
975	7869	193
976	7877	185
977	7884	177
978	7902	169
979	7914	161
980	7924	153
981	7935	145
982	7945	137
983	7954	129
984	7962	121
985	7969	113
986	7976	105
987	7983	96
988	7991	88
989	7997	80
990	8004	72
991	8011	64
992	8017	56
993	8024	48
994	8031	40
995	8038	32
996	8045	24
997	8052	16
998	8060	8
999	8067	0
